"","aascode","aasname","Adj DPS aT4Q","Adj DPS n-0","Adj DPS n-1","Adj DPS n-2","Adj DPS n-3","Adj DPS n-4","Adj DPS n-5","Adj DPS n-6","Adj DPS n-7","Adj DPS n-8","Adj DPS n-9","Adj EPS aT4Q","Adj EPS n-0","Adj EPS n-1","Adj EPS n-2","Adj EPS n-3","Adj EPS n-4","Adj EPS n-5","Adj EPS n-6","Adj EPS n-7","Adj EPS n-8","Adj EPS n-9","Div Payout  aT4Q","Div Payout  n-0","Div Payout  n-1","Div Payout  n-2","Div Payout  n-3","Div Payout  n-4","Div Payout  n-5","Div Payout  n-6","Div Payout  n-7","Div Payout  n-8","Div Payout  n-9","PMoAD DY aT4Q","PMoAD DY n-0","PMoAD DY n-1","PMoAD DY n-2","PMoAD DY n-3","PMoAD DY n-4","PMoAD DY n-5","PMoAD DY n-6","PMoAD DY n-7","PMoAD DY n-8","PMoAD DY n-9","PMoAD P/EPS aT4Q","PMoAD P/EPS n-0","PMoAD P/EPS n-1","PMoAD P/EPS n-2","PMoAD P/EPS n-3","PMoAD P/EPS n-4","PMoAD P/EPS n-5","PMoAD P/EPS n-6","PMoAD P/EPS n-7","PMoAD P/EPS n-8","PMoAD P/EPS n-9","PMoFQED DY aT4Q","PMoFQED DY n-0","PMoFQED DY n-1","PMoFQED DY n-2","PMoFQED DY n-3","PMoFQED DY n-4","PMoFQED DY n-5","PMoFQED DY n-6","PMoFQED DY n-7","PMoFQED DY n-8","PMoFQED DY n-9","PMoFQED P/EPS aT4Q","PMoFQED P/EPS n-0","PMoFQED P/EPS n-1","PMoFQED P/EPS n-2","PMoFQED P/EPS n-3","PMoFQED P/EPS n-4","PMoFQED P/EPS n-5","PMoFQED P/EPS n-6","PMoFQED P/EPS n-7","PMoFQED P/EPS n-8","PMoFQED P/EPS n-9","ROE aT4Q","ROE n-0","ROE n-1","ROE n-2","ROE n-3","ROE n-4","ROE n-5","ROE n-6","ROE n-7","ROE n-8","ROE n-9"
"2291","2291","GENP",25.69,25.69,20.64,5.3,9.52,45.09,11.8,15.35,11.79,8.48,9.41,42.96,42.03,42.09,23.61,46.95,28.35,40.7,55.01,40.35,29.33,46.45,59.8,61.12,49.03,22.46,20.27,159.06,29,27.9,29.23,28.92,20.26,2.65,2.65,1.9,0.5,0.98,4.55,1.48,1.76,1.57,1.46,2.44,22.54,23.04,25.87,44.92,20.72,34.98,19.65,15.88,18.64,19.86,8.31,2.48,2.48,1.94,0.52,1,4.33,1.39,1.89,1.42,1.44,2.82,24.15,24.68,25.21,43.28,20.27,36.78,20.88,14.76,20.58,20.05,7.17,8.05,7.88,7.95,4.54,9.75,6.64,9.56,13.67,11.31,9.26,15.92
"5107","5107","IQGROUP",0.11,0.11,0.1,0.08,0,0,0,0,0,0,0,8.54,32,23.69,23.85,12.74,0.71,7.14,-15.27,-12.97,-2.39,1.34,1.29,0.34,0.42,0.33,NA,NA,NA,NA,NA,NA,NA,0.06,0.03,0.05,0.03,0,0,0,0,0,0,0,20.84,11.97,8.01,11.27,9.7,42.47,4.06,-2.4,-2.83,-20.65,49.64,0.06,0.03,0.05,0.03,0,0,0,0,0,0,0,23.3,10.94,8.22,11.02,10.01,56.16,4.19,-2.53,-3.8,-28.34,48.92,4.91,17.48,15.31,17.88,11.67,0.74,7.55,-16.3,-11.78,-1.86,1.1
"7161","7161","KERJAYA",4.03,3.82,2.03,0.37,0.37,0.49,0,0,0,0,0,16.96,16.96,13.57,2.2,2.05,1.57,3.22,0.76,-0.33,-1.22,-1.48,23.76,22.52,14.94,16.91,18.07,31.58,NA,NA,NA,NA,NA,3.33,3.16,1.6,1.76,2.17,4.55,0,0,0,0,0,7.12,7.12,9.34,9.58,8.31,6.95,3.19,15,-8.38,-2.04,-2.53,1.43,1.35,1.84,1.84,3.03,5.41,0,0,0,0,0,16.62,16.62,8.1,9.19,5.96,5.84,3.15,8.64,-8.86,-2.44,-2.64,15.76,15.76,17.85,14.91,16.12,14.07,32.53,11.36,-8.88,-30.38,-28.53
"9334","9334","KESM",6,12.5,7.5,6,3,3,3,3,3,3,3,108.24,102.3,71.3,39.6,25.3,10.6,9.67,28.79,27.31,22.68,71.28,5.54,12.22,10.51,15.15,11.86,28.24,31.01,10.42,10.99,13.22,4.21,0.31,0.83,0.94,1.47,1.05,1.7,1.66,1.58,1.43,1.38,1.15,18.02,14.72,11.22,10.28,11.26,16.57,18.71,6.6,7.69,9.6,3.67,0.3,0.8,1.13,1.43,0.99,1.66,1.58,1.42,1.34,1.3,1.07,18.44,15.35,9.34,10.61,11.94,17.04,19.64,7.36,8.21,10.13,3.94,13.41,13.37,10.7,6.54,4.43,1.94,1.81,5.52,5.57,4.84,16.47
"5192","5192","KSSC",0,0,1.5,0.8,0,3.95,1,2,2.35,NA,NA,5.62,5.68,3.89,1.97,4.59,13.72,2.15,2.87,6.93,NA,NA,NA,NA,38.51,40.79,NA,28.81,46.51,69.6,33.94,NA,NA,0,0,3.57,2.11,0,10.13,3.13,5,5.45,0,NA,7.39,7.31,10.78,19.37,12.66,2.84,14.88,13.92,6.22,0,NA,0,0,3.9,2.05,0,10.13,3.03,4.44,0,0,NA,7.21,7.13,9.88,19.88,11.02,2.84,15.35,15.66,0,0,NA,6.69,6.76,4.93,2.58,6.03,18.04,3.41,4.56,13.39,NA,NA
"3867","3867","MPI",26.24,24.43,20.81,18.1,13.52,9.54,9.23,18.49,23.22,18.58,34.36,76.55,84.77,75.05,51.68,21.51,5.22,-9.42,28,50.22,-19.01,53.45,34.28,28.82,27.73,35.01,62.84,182.95,NA,66.03,46.23,NA,64.29,2.58,1.91,2.88,3.12,2.4,4.26,3.79,5.31,4.18,3.48,5.32,13.29,15.05,9.63,11.24,26.14,42.92,-25.88,12.45,11.06,-28.09,12.08,2.3,2,3.07,3,2.95,4.05,3.34,4.44,4.05,4,5.29,14.92,14.39,9.04,11.66,21.28,45.21,-29.31,14.86,11.43,-24.43,12.16,13.73,15.88,16.07,12.64,6.17,1.5,-2.73,7.85,14.23,-5.7,14.64
"4707","4707","NESTLE",275,275,270,260,235,0.17,210,180,165,150,191.19,275.73,275.39,271.7,251.91,234.71,239.53,0,182.14,166.91,150.02,145.37,99.74,99.86,99.38,103.21,100.13,0.07,NA,98.83,98.86,99.99,131.52,1.86,2.26,3.57,3.49,3.18,3.56,3.58,3.23,3.64,4.42,6.95,53.5,44.12,27.86,29.6,31.44,0.02,NA,30.64,27.14,22.6,18.92,1.78,2.66,3.45,3.54,3.43,3.46,3.34,3.2,3.81,4.53,7.08,56.03,37.47,28.78,29.14,29.19,0.02,NA,30.86,25.97,22.06,18.57,74.93,100.88,98.44,83.41,70.91,NA,0,65.52,63.71,61.99,66.08
"5066","5066","NTPM",1.6,2.4,1.61,0.73,2.9,2.88,1.45,2.92,2.89,2.63,2.24,3.34,4.44,5.13,3.8,4.8,4.37,3.99,4.64,5.28,4.12,2.95,47.94,54.05,31.37,19.21,60.42,65.91,36.25,63.04,54.72,63.9,75.83,3.05,3.02,1.82,1.04,3.31,5.32,2.96,5.37,4.83,6.09,14.46,15.73,17.9,17.25,18.42,18.23,12.39,12.25,11.74,11.32,10.49,5.24,2.76,2.82,1.67,1.01,3.35,6.11,2.96,5.27,5,7.08,15,17.38,19.14,18.82,18.95,18.02,10.8,12.25,11.96,10.94,9.02,5.06,8.14,11.1,13.78,11.88,16,15.71,16,20.91,26.5,22.78,33.38
"0035","0035","OPCOM",0.02,1.98,1.49,1.24,4.76,9.91,19.42,3.57,3.37,1.99,1.78,1.24,4.41,4.56,2.73,1.71,7.96,12.23,12.44,5.89,3.76,2.8,1.6,44.93,32.56,45.41,277.37,124.5,158.77,28.66,57.12,52.96,63.69,0.05,3.31,2.22,1.4,8.7,15.24,32.24,5.36,6.16,4.05,5.63,30.67,13.59,14.65,32.33,31.9,8.17,4.93,5.35,9.27,13.08,11.32,0.05,3.25,2.27,1.18,8.51,16.78,31.41,5.56,5.67,6.61,6.43,29.46,13.82,14.33,38.51,32.59,7.42,5.05,5.16,10.08,8.02,9.91,2.39,8.1,9.07,5.75,3.84,16.71,24.67,23.23,13.19,8.91,6.93
"5065","5065","ORNA",4.93,2.46,2.96,2.46,0,0,0,0,0,0,0,20.8,20.8,10.33,9.36,12.81,10.67,9.41,7.71,6.1,6.12,3.43,23.69,11.85,28.63,26.32,NA,NA,NA,NA,NA,NA,NA,3.29,1.64,2.8,2.38,0,0,0,0,0,0,0,7.2,7.2,10.21,11.05,10.38,10.34,5.66,6.09,6.4,6.04,5.54,3.73,1.87,3.19,2.45,0,0,0,0,0,0,0,6.35,6.35,8.97,10.74,7.69,7.39,6.6,6.22,6.73,5.88,7.29,10.15,10.15,5.51,5.22,7.43,6.64,6.28,5.39,4.52,4.64,2.7
"5436","5436","PERSTIM",20,40,38,34.35,40,40,40,40,40.5,20,20,25.87,55.53,51.29,42.91,40.95,26.87,35.43,66.38,78.14,32.48,45.7,77.32,72.03,74.09,80.05,97.68,148.86,112.9,60.26,51.83,61.58,43.76,4.74,5.37,6.44,8.24,8.6,11.14,11.59,7.74,9.95,9.43,6.71,16.31,13.42,11.5,9.72,11.36,13.36,9.74,7.79,5.21,6.53,6.52,4.96,5.3,6.71,8.16,8.89,12.94,11.08,8.42,10.18,10.99,6.78,15.58,13.6,11.04,9.81,10.99,11.5,10.19,7.16,5.09,5.6,6.46,6.86,13.88,13.86,12.35,12.33,8.37,11.07,21.01,26.31,12.79,19.12
"7190","7190","PPG",0,0,0,0,0,0,2.04,2.04,2.04,1.71,1.82,1.49,3.09,2.49,2.57,4.85,6.61,4.86,3.93,4.09,5.78,7.36,NA,NA,NA,NA,NA,NA,42.05,52.01,49.91,29.54,24.72,0,0,0,0,0,0,5,5.56,4.88,4.79,4.4,33.56,18.36,23.42,22.28,11.69,8.9,8.41,9.36,10.23,6.17,5.62,0,0,0,0,0,0,4.88,5.41,4.55,4.58,3.73,32.56,19.19,23,18.9,13.48,7.81,8.62,9.62,10.98,6.45,6.63,1.42,3.03,2.51,2.59,4.95,6.97,5.43,4.57,4.91,7.15,9.57
"5263","5263","SUNCON",12.5,7,6.51,0,NA,NA,NA,NA,NA,NA,NA,10.66,10.66,9.56,9.84,NA,NA,NA,NA,NA,NA,NA,117.21,65.64,68.06,NA,NA,NA,NA,NA,NA,NA,NA,5.08,2.85,3.61,0,0,NA,NA,NA,NA,NA,NA,23.07,23.07,18.85,14.23,0,NA,NA,NA,NA,NA,NA,4.98,2.79,3.82,0,0,NA,NA,NA,NA,NA,NA,23.54,23.54,17.8,14.23,0,NA,NA,NA,NA,NA,NA,24.8,24.8,25.13,28.12,NA,NA,NA,NA,NA,NA,NA
"7235","7235","SUPERLN",3.47,5.46,4.47,3.97,0.62,0,0,1.47,0.87,0,0,10.8,14.82,10.41,5.86,3.66,2.56,-0.35,0.83,3.28,-0.68,4.86,32.16,36.83,42.9,67.74,17.03,NA,NA,176.51,26.57,NA,NA,2.19,5.73,4,5.71,1.84,0,0,7.02,4.17,0,0,14.7,6.43,10.72,11.85,9.26,6.65,-54.93,25.13,6.38,-29.28,8.03,2.07,3.24,4.57,6.56,1.95,0,0,7.02,4.07,0,0,15.53,11.38,9.39,10.33,8.72,6.74,-59.15,25.13,6.53,-28.55,8.03,15.11,21.96,18.62,11.73,9.88,7.43,-1.06,2.43,9.59,-2.14,14.24
"6139","6139","TAKAFUL",0.15,0.15,0.12,0,7.9,8.3,4.94,1.38,0,0,0.67,26.68,25.08,21.39,18.92,17.05,16.86,12.28,9.57,0,0,3.6,0.56,0.6,0.56,NA,46.37,49.2,40.21,14.44,NA,NA,18.69,0.05,0.04,0.03,0,3.54,4.11,4.62,3.57,0,0,2.11,12.2,14.3,18.82,19.65,13.1,11.97,8.7,4.04,0,0,8.86,0.05,0.04,0.03,0,3.55,4.08,4.6,3.8,0,0,1.9,12.43,14.97,19.24,20.39,13.08,12.07,8.75,3.8,0,0,9.82,24.97,25.36,24.18,22.77,24.1,24.32,20.25,17.44,NA,NA,9.96
"5054","5054","TRC",0,0,0,0,0,0,0,0,0,0,0,6,6,5.8,6.39,0.73,2.15,2.12,2.7,3.37,5.68,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,12.34,12.34,7.07,5.87,58.18,26.04,24.77,25.44,6.56,3.89,1.6,0,0,0,0,0,0,0,0,0,0,0,10.51,10.51,6.55,5.79,52.02,24.42,26.64,22.58,6.68,4.03,1.31,7.14,7.14,7.25,8.64,1.07,3.14,3.24,4.23,5.43,9.53,22.17
"5246","5246","WPRTS",14.32,14.32,14,11.1,11.25,40.47,5.82,NA,NA,NA,NA,18.6,19.11,18.09,14.81,15.02,13.86,10.54,NA,NA,NA,NA,76.97,74.95,77.39,74.97,74.9,317.03,55.28,NA,NA,NA,NA,4.3,4.05,3.39,2.81,3.21,16.12,0,NA,NA,NA,NA,17.9,18.53,22.83,26.68,23.3,19.66,0,NA,NA,NA,NA,3.99,3.87,3.26,2.69,3.35,16,0,NA,NA,NA,NA,19.3,19.37,23.77,27.83,22.37,19.82,0,NA,NA,NA,NA,29.82,28.64,29.82,26.6,29.03,27.14,24.25,NA,NA,NA,NA
"7293","7293","YINSON",9.89,11.82,16.56,1.3,0,0,0,0,0,0,0.15,26.73,26.73,18.03,22.66,12.79,3.1,2.43,1.7,0.73,1.17,1.19,37.01,44.21,91.86,5.76,NA,NA,NA,NA,NA,NA,13,2.66,3.19,5.17,0.53,0,0,0,0,0,0,3.97,13.85,13.85,17.76,10.82,13.58,14.71,4.71,3.73,8.19,2.83,3.28,2.37,2.84,5.34,0.53,0,0,0,0,0,0,3.33,15.55,15.55,17.21,10.9,11.3,12.74,5.42,3.62,5.52,2.67,3.9,14.83,14.83,10.03,18.55,27.8,12.3,17.57,15.2,7.54,12.81,14.91
