"","aascode","aasname","Adj DPS aT4Q","Adj DPS n-0","Adj DPS n-1","Adj DPS n-2","Adj DPS n-3","Adj DPS n-4","Adj DPS n-5","Adj DPS n-6","Adj DPS n-7","Adj DPS n-8","Adj DPS n-9","Adj EPS aT4Q","Adj EPS n-0","Adj EPS n-1","Adj EPS n-2","Adj EPS n-3","Adj EPS n-4","Adj EPS n-5","Adj EPS n-6","Adj EPS n-7","Adj EPS n-8","Adj EPS n-9","Div Payout  aT4Q","Div Payout  n-0","Div Payout  n-1","Div Payout  n-2","Div Payout  n-3","Div Payout  n-4","Div Payout  n-5","Div Payout  n-6","Div Payout  n-7","Div Payout  n-8","Div Payout  n-9","PMoAD DY aT4Q","PMoAD DY n-0","PMoAD DY n-1","PMoAD DY n-2","PMoAD DY n-3","PMoAD DY n-4","PMoAD DY n-5","PMoAD DY n-6","PMoAD DY n-7","PMoAD DY n-8","PMoAD DY n-9","PMoAD P/EPS aT4Q","PMoAD P/EPS n-0","PMoAD P/EPS n-1","PMoAD P/EPS n-2","PMoAD P/EPS n-3","PMoAD P/EPS n-4","PMoAD P/EPS n-5","PMoAD P/EPS n-6","PMoAD P/EPS n-7","PMoAD P/EPS n-8","PMoAD P/EPS n-9","PMoFQED DY aT4Q","PMoFQED DY n-0","PMoFQED DY n-1","PMoFQED DY n-2","PMoFQED DY n-3","PMoFQED DY n-4","PMoFQED DY n-5","PMoFQED DY n-6","PMoFQED DY n-7","PMoFQED DY n-8","PMoFQED DY n-9","PMoFQED P/EPS aT4Q","PMoFQED P/EPS n-0","PMoFQED P/EPS n-1","PMoFQED P/EPS n-2","PMoFQED P/EPS n-3","PMoFQED P/EPS n-4","PMoFQED P/EPS n-5","PMoFQED P/EPS n-6","PMoFQED P/EPS n-7","PMoFQED P/EPS n-8","PMoFQED P/EPS n-9","ROE aT4Q","ROE n-0","ROE n-1","ROE n-2","ROE n-3","ROE n-4","ROE n-5","ROE n-6","ROE n-7","ROE n-8","ROE n-9"
"7757","7757","UPA",17.46,17.46,7.77,8.81,7.88,7.93,7.84,7.84,9.84,8.34,8.36,47.75,47.75,40.18,23.66,18.13,15.61,16.61,11.03,17.71,16.92,18.18,36.57,36.57,19.33,37.25,43.45,50.79,47.19,71.12,55.56,49.3,46.01,7.32,7.32,3.67,4.05,4.82,5.76,6.4,5.8,7.52,6.8,8.4,5,5,5.27,9.19,9.02,8.83,7.37,12.27,7.39,7.25,5.47,7.32,7.32,3.85,4.17,5.16,5.93,6.5,5.76,7.25,6.62,7.19,5,5,5.02,8.94,8.42,8.57,7.26,12.36,7.67,7.44,6.39,15.29,15.29,14.18,9.29,7.58,6.76,7.6,5.28,8.61,8.56,9.66
"5143","5143","LUXCHEM",2.26,3.87,2.22,2,1.83,1.22,1.3,1.37,1.22,1.06,0.76,4.3,4.77,5.09,4.65,2.57,2.3,2.58,2.66,2.4,2.24,2.08,52.54,81.14,43.7,42.98,71.06,52.94,50.33,51.4,50.76,47.54,36.47,3.74,5.16,4.35,3.57,6.63,5.56,6.97,8.11,7.34,6.86,8.33,14.04,15.72,10.05,12.04,10.72,9.53,7.22,6.34,6.92,6.93,4.38,3.65,5.3,4.76,3.92,7.32,6.2,6.8,8.91,7.62,6.67,7.69,14.38,15.31,9.18,10.98,9.71,8.54,7.4,5.77,6.66,7.13,4.74,13.58,15.9,57.2,20.71,14.07,13.61,16.09,18.05,18.11,18.64,19.31
"7202","7202","CSCENIC",10,10,11,10,8,8,12.3,8.96,6.22,6.97,2.99,10.2,10.2,11.02,9.54,8.4,7.58,11.04,7.72,9.84,6.8,6.48,98.04,98.04,99.77,104.87,95.29,105.54,111.67,115.98,63.26,102.48,46.15,6.29,6.29,5.53,7.69,6.25,6.5,11.5,10.98,8.45,12.5,8.82,15.59,15.59,18.05,13.63,15.25,16.23,9.71,10.57,7.49,8.2,5.23,6.06,6.06,6.15,8.26,6.67,7.34,11.83,12.33,8.8,15.56,7.69,16.18,16.18,16.24,12.69,14.29,14.38,9.44,9.41,7.19,6.59,6,12.75,12.75,13.78,11.77,10.63,9.6,13.6,9.82,12.83,8.76,8.78
"6432","6432","APOLLO",25,25,30,25,25,20,20,25,0,0,25,15.51,22.29,37.18,31.62,41.84,40.11,27.18,22.32,30.85,26.15,26.22,161.19,112.16,80.69,79.07,59.76,49.87,73.57,112.01,NA,NA,95.35,6.2,5,5.31,5.3,5.02,4.76,6.78,8.12,0,0,9.58,25.98,22.43,15.2,14.93,11.9,10.47,10.85,13.8,9.5,9.29,9.95,5.63,5,5.04,5.53,5.22,5.25,6.83,8.2,0,0,8.99,28.63,22.43,16,14.3,11.45,9.5,10.78,13.66,9.4,9.1,10.6,5.14,7.03,11.55,10.17,13.72,13.93,10.14,8.55,12.15,11.08,11.86
"7811","7811","SAPIND",4,4,6,6,6,11,7,27.8,5,0,3,4.23,4.23,8.45,10.61,11.33,25.07,18.53,27.87,11.13,7.75,7.06,94.58,94.61,71.03,56.52,52.96,43.87,37.77,99.75,44.94,NA,42.49,5.26,5.26,6.22,6.25,4.62,8.4,4.7,25.98,7.69,0,6.67,17.97,17.98,11.42,9.04,11.47,5.22,8.04,3.84,5.84,4.52,6.37,4.49,4.49,6.67,6.42,4.44,8.66,4.9,25.27,9.62,0,8.57,21.04,21.05,10.65,8.81,11.92,5.07,7.72,3.95,4.67,6.06,4.96,2.92,2.92,5.79,7.42,8.09,18.04,15.84,26.29,11.47,8.91,8.61
"7157","7157","CYL",4,4,3.96,5.96,5,4.01,4.45,4,4,4,4,1.2,1.2,2.92,5.94,4.6,1.3,3.49,3,3.72,3.75,5.83,333.33,333.33,135.87,100.33,108.53,309.57,127.49,133.33,107.58,106.61,68.61,6.67,6.67,4.91,6.9,7.52,6.72,8.65,8.16,8,7.84,10,50,50,27.68,14.55,14.43,46.05,14.73,16.33,13.45,13.59,6.86,6.25,6.25,5.1,6.94,8.93,7.92,9.38,8.51,7.69,8,8,53.33,53.33,26.66,14.46,12.16,39.08,13.6,15.67,13.99,13.33,8.58,1.76,1.76,4.15,8.19,6.35,1.77,4.63,3.81,4.66,5.14,7.96
"9148","9148","ADVPKG",11.19,11.19,11.19,11.18,11.19,13.08,13.15,13.22,19.37,8.66,8.93,5.73,5.74,14.05,13.61,9.84,13.79,12.89,11.68,11.8,2.21,5.62,195.19,195.02,79.63,82.19,113.74,94.85,102.04,113.18,164.18,391.3,159.01,6.25,6.25,5.33,5.22,5.5,7,9.27,10.94,8.8,1.96,3.63,31.23,31.2,14.93,15.75,20.66,13.55,11.01,10.35,18.66,200,43.82,5.94,5.94,5.36,5.26,5.61,7.22,9.93,10.77,7.86,2.68,3.63,32.86,32.83,14.86,15.62,20.28,13.14,10.28,10.51,20.9,146.09,43.82,3.89,3.89,9.19,9.07,6.68,9.28,8.79,8.08,4.44,0.91,2.26
"6491","6491","KFIMA",8.91,8.91,8.82,8.3,7.71,7.59,7.47,6.53,4.66,2.8,2.33,11.97,17.81,20.1,20.75,21.37,27.39,28.65,25.17,20.82,16.36,10.73,74.44,50.02,43.88,39.98,36.1,27.69,26.06,25.94,22.4,17.11,21.73,5.88,4.66,4.86,4.34,3.49,3.65,4.47,4.09,5.62,5.17,5.32,12.78,10.73,9.02,9.22,10.33,7.58,5.83,6.34,3.99,3.31,4.08,5.73,4.74,4.86,4.27,3.43,4.26,4.28,4.27,4.76,7.69,5.43,13.12,10.56,9.02,9.36,10.52,6.51,6.09,6.08,4.7,2.22,4,4.45,6.38,7.6,8.02,9.51,12.78,14.83,16.16,14.68,13.81,10.09
"5131","5131","ZHULIAN",8,7.5,6,8.57,10,16,15.5,12,12,10.5,8.25,10.28,11.48,9.04,16.47,10.64,26.31,25.46,20.72,18.93,17.83,16.24,77.85,65.33,66.37,52.04,94.01,60.81,60.88,57.92,63.39,58.9,50.81,5.44,3.59,4.84,4.11,4.41,4.66,5.5,6.35,6.9,7.73,11.7,14.3,18.2,13.72,12.66,21.34,13.04,11.08,9.12,9.19,7.61,4.34,4.85,4.17,4.62,3.97,4.69,3.28,5.96,6.98,6.94,9.15,11.96,16.06,15.68,14.38,13.1,20.02,18.55,10.21,8.3,9.14,6.44,4.25,8.19,9.1,7.51,10.02,10.13,24.01,25.92,24.29,24.74,25.62,26.73
"5024","5024","HUPSENG",6,6,6,7.5,3,3.45,4.5,3.75,1.8,1.91,0.55,5.56,5.56,6.18,6.84,4.77,4.59,4.07,2.33,2.92,3.39,2.01,107.9,107.9,97.15,109.65,62.89,75.11,110.62,161.26,61.7,56.48,27.62,5.61,5.61,5.08,5.68,3.33,3.31,9.87,13.89,6.56,8.85,10.14,19.24,19.24,19.11,19.3,18.87,22.7,11.21,11.61,9.41,6.38,2.72,5.5,5.5,5.13,5.81,3.73,3.58,10.6,13.97,6.63,9.44,10.42,19.6,19.6,18.95,18.86,16.88,20.97,10.44,11.55,9.31,5.98,2.65,27.8,27.8,26.85,32.57,25.11,24.5,21.19,12.6,15.94,18.97,12.76
